epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,620.605,1.12125,0.9622,1.0002,0.96531,0.95412,0.97179,0.75379,0.85493,0.80538,0.90928,0.000193421,0.000193421,0.000193421
2,1235.77,1.09451,0.88884,0.99155,0.95408,0.97196,0.97753,0.74545,0.86915,0.74846,0.91513,0.00037657,0.00037657,0.00037657
3,1849.97,1.12985,0.9008,1.01549,0.94287,0.96122,0.9807,0.74965,0.90993,0.81147,0.92769,0.000546783,0.000546783,0.000546783
4,2462.52,1.10238,0.85796,1.00385,0.95356,0.95791,0.98095,0.74554,0.90396,0.77412,0.92813,0.000529788,0.000529788,0.000529788
5,3075.32,1.04955,0.8121,0.99083,0.96938,0.98269,0.98701,0.73363,1.01078,0.7595,0.9518,0.000510384,0.000510384,0.000510384
6,3690.16,1.07561,0.78689,0.99865,0.97425,0.98072,0.98787,0.75905,0.87225,0.66402,0.92444,0.00049098,0.00049098,0.00049098
7,4303.22,1.03351,0.77538,0.98918,0.98047,0.97917,0.98687,0.77214,0.83031,0.65324,0.91801,0.000471576,0.000471576,0.000471576
8,4916.6,1.01832,0.74566,0.98104,0.96166,0.97591,0.98418,0.74613,0.91255,0.6731,0.91994,0.000452172,0.000452172,0.000452172
9,5532.5,1.01991,0.75157,0.9836,0.96655,0.96115,0.98607,0.77517,0.85659,0.64315,0.91171,0.000432768,0.000432768,0.000432768
10,6147.18,1.04305,0.74575,0.98347,0.9733,0.98993,0.98532,0.72821,0.96959,0.66655,0.93225,0.000413364,0.000413364,0.000413364
11,6750.36,1.00208,0.708,0.97081,0.97854,0.9877,0.98776,0.77979,0.81156,0.5923,0.90623,0.00039396,0.00039396,0.00039396
12,7386.12,1.00458,0.70661,0.98095,0.97785,0.97506,0.98576,0.77547,0.82394,0.59146,0.90403,0.000374556,0.000374556,0.000374556
13,8030.49,0.99251,0.69636,0.97779,0.97162,0.98003,0.98872,0.75972,0.88171,0.58953,0.91658,0.000355152,0.000355152,0.000355152
14,8665.17,0.9869,0.67551,0.97518,0.97835,0.9895,0.98808,0.78033,0.8071,0.56705,0.90528,0.000335748,0.000335748,0.000335748
15,9313.77,0.95828,0.64409,0.96355,0.98549,0.98154,0.98703,0.7739,0.85453,0.56055,0.9105,0.000316344,0.000316344,0.000316344
16,9964.06,0.95856,0.65085,0.97102,0.9795,0.98222,0.98729,0.77057,0.85162,0.57123,0.90512,0.00029694,0.00029694,0.00029694
17,10605.1,0.93437,0.63295,0.95123,0.96705,0.97789,0.98691,0.78001,0.82392,0.56812,0.9031,0.000277536,0.000277536,0.000277536
18,11215.5,0.9545,0.63107,0.97245,0.9868,0.98869,0.9872,0.79287,0.78025,0.52221,0.89232,0.000258132,0.000258132,0.000258132
19,11820.2,0.92488,0.61432,0.95504,0.97779,0.98938,0.98693,0.78551,0.79769,0.52984,0.89624,0.000238728,0.000238728,0.000238728
20,12423.5,0.91483,0.60841,0.95665,0.9819,0.98961,0.98837,0.77727,0.8498,0.52918,0.91877,0.000219324,0.000219324,0.000219324
21,13015.5,0.87868,0.57809,0.96503,0.97919,0.98065,0.98871,0.78201,0.81713,0.53625,0.90334,0.00019992,0.00019992,0.00019992
22,13606.7,0.88099,0.56167,0.96611,0.97854,0.98266,0.98744,0.77607,0.83526,0.54252,0.9005,0.000180516,0.000180516,0.000180516
23,14197.6,0.87177,0.55162,0.955,0.98,0.98411,0.98143,0.77547,0.82825,0.52788,0.90082,0.000161112,0.000161112,0.000161112
24,14787.4,0.86834,0.54315,0.95041,0.97707,0.98705,0.98922,0.79201,0.79424,0.50932,0.9005,0.000141708,0.000141708,0.000141708
25,15376.7,0.86171,0.52957,0.94989,0.97753,0.98486,0.98661,0.78509,0.78184,0.50221,0.89163,0.000122304,0.000122304,0.000122304
26,15967.5,0.85214,0.52435,0.95638,0.97624,0.98726,0.98808,0.79115,0.7943,0.49791,0.89708,0.0001029,0.0001029,0.0001029
27,16558.6,0.83844,0.51597,0.9535,0.97744,0.98562,0.98697,0.78908,0.77814,0.49,0.89071,8.3496e-05,8.3496e-05,8.3496e-05
28,17149.2,0.84008,0.51901,0.95591,0.97926,0.98673,0.98342,0.7955,0.77261,0.4901,0.89038,6.4092e-05,6.4092e-05,6.4092e-05
29,17740.4,0.82904,0.50295,0.95122,0.97788,0.98761,0.98793,0.80169,0.76298,0.47885,0.89273,4.4688e-05,4.4688e-05,4.4688e-05
30,18332.1,0.81963,0.50164,0.9427,0.97945,0.98552,0.98682,0.79665,0.77589,0.48243,0.89087,2.5284e-05,2.5284e-05,2.5284e-05
